IP地址,端口,TLS,数据中心,地区,城市,网络延迟
172.64.229.132	443	TRUE	NRT	Asia Pacific	Tokyo	136 ms
172.64.229.169	443	TRUE	NRT	Asia Pacific	Tokyo	136 ms
172.64.229.168	443	TRUE	NRT	Asia Pacific	Tokyo	136 ms
172.64.229.115	443	TRUE	NRT	Asia Pacific	Tokyo	137 ms
172.64.229.97	443	TRUE	NRT	Asia Pacific	Tokyo	137 ms
172.64.229.52	443	TRUE	NRT	Asia Pacific	Tokyo	137 ms
172.64.229.141	443	TRUE	NRT	Asia Pacific	Tokyo	138 ms
172.64.229.143	443	TRUE	NRT	Asia Pacific	Tokyo	138 ms
172.64.229.90	443	TRUE	NRT	Asia Pacific	Tokyo	138 ms
172.64.229.144	443	TRUE	NRT	Asia Pacific	Tokyo	138 ms
172.64.229.73	443	TRUE	NRT	Asia Pacific	Tokyo	138 ms
172.64.229.117	443	TRUE	NRT	Asia Pacific	Tokyo	139 ms
172.64.229.197	443	TRUE	NRT	Asia Pacific	Tokyo	139 ms
172.64.229.122	443	TRUE	NRT	Asia Pacific	Tokyo	139 ms
172.64.229.249	443	TRUE	NRT	Asia Pacific	Tokyo	139 ms
172.64.229.181	443	TRUE	NRT	Asia Pacific	Tokyo	139 ms
172.64.229.49	443	TRUE	NRT	Asia Pacific	Tokyo	139 ms
172.64.229.48	443	TRUE	NRT	Asia Pacific	Tokyo	139 ms
172.64.229.59	443	TRUE	NRT	Asia Pacific	Tokyo	139 ms
172.64.229.50	443	TRUE	NRT	Asia Pacific	Tokyo	140 ms
172.64.229.47	443	TRUE	NRT	Asia Pacific	Tokyo	140 ms
172.64.229.98	443	TRUE	NRT	Asia Pacific	Tokyo	140 ms
172.64.229.72	443	TRUE	NRT	Asia Pacific	Tokyo	140 ms
172.64.229.213	443	TRUE	NRT	Asia Pacific	Tokyo	140 ms
172.64.229.183	443	TRUE	NRT	Asia Pacific	Tokyo	140 ms
172.64.229.178	443	TRUE	NRT	Asia Pacific	Tokyo	140 ms
172.64.229.85	443	TRUE	NRT	Asia Pacific	Tokyo	140 ms
172.64.229.84	443	TRUE	NRT	Asia Pacific	Tokyo	140 ms
172.64.229.133	443	TRUE	NRT	Asia Pacific	Tokyo	140 ms
172.64.229.83	443	TRUE	NRT	Asia Pacific	Tokyo	140 ms
172.64.229.68	443	TRUE	NRT	Asia Pacific	Tokyo	140 ms
172.64.229.58	443	TRUE	NRT	Asia Pacific	Tokyo	141 ms
172.64.229.80	443	TRUE	NRT	Asia Pacific	Tokyo	141 ms
172.64.229.76	443	TRUE	NRT	Asia Pacific	Tokyo	141 ms
172.64.229.189	443	TRUE	NRT	Asia Pacific	Tokyo	141 ms
172.64.229.170	443	TRUE	NRT	Asia Pacific	Tokyo	141 ms
172.64.229.229	443	TRUE	NRT	Asia Pacific	Tokyo	141 ms
172.64.229.237	443	TRUE	NRT	Asia Pacific	Tokyo	141 ms
172.64.229.196	443	TRUE	NRT	Asia Pacific	Tokyo	141 ms
172.64.229.198	443	TRUE	NRT	Asia Pacific	Tokyo	141 ms
172.64.229.236	443	TRUE	NRT	Asia Pacific	Tokyo	142 ms
172.64.229.114	443	TRUE	NRT	Asia Pacific	Tokyo	142 ms
172.64.229.162	443	TRUE	NRT	Asia Pacific	Tokyo	142 ms
172.64.229.127	443	TRUE	NRT	Asia Pacific	Tokyo	142 ms
172.64.229.11	443	TRUE	NRT	Asia Pacific	Tokyo	142 ms
172.64.229.158	443	TRUE	NRT	Asia Pacific	Tokyo	142 ms
172.64.229.74	443	TRUE	NRT	Asia Pacific	Tokyo	142 ms
172.64.229.190	443	TRUE	NRT	Asia Pacific	Tokyo	142 ms
172.64.229.35	443	TRUE	NRT	Asia Pacific	Tokyo	142 ms
172.64.229.120	443	TRUE	NRT	Asia Pacific	Tokyo	142 ms
172.64.229.204	443	TRUE	NRT	Asia Pacific	Tokyo	143 ms
172.64.229.254	443	TRUE	NRT	Asia Pacific	Tokyo	143 ms
172.64.229.70	443	TRUE	NRT	Asia Pacific	Tokyo	143 ms
172.64.229.37	443	TRUE	NRT	Asia Pacific	Tokyo	143 ms
172.64.229.36	443	TRUE	NRT	Asia Pacific	Tokyo	143 ms
172.64.229.231	443	TRUE	NRT	Asia Pacific	Tokyo	143 ms
172.64.229.128	443	TRUE	NRT	Asia Pacific	Tokyo	143 ms
172.64.229.0	443	TRUE	NRT	Asia Pacific	Tokyo	143 ms
172.64.229.2	443	TRUE	NRT	Asia Pacific	Tokyo	144 ms
172.64.229.148	443	TRUE	NRT	Asia Pacific	Tokyo	144 ms
172.64.229.93	443	TRUE	NRT	Asia Pacific	Tokyo	144 ms
172.64.229.182	443	TRUE	NRT	Asia Pacific	Tokyo	144 ms
172.64.229.163	443	TRUE	NRT	Asia Pacific	Tokyo	144 ms
172.64.229.82	443	TRUE	NRT	Asia Pacific	Tokyo	144 ms
172.64.229.226	443	TRUE	NRT	Asia Pacific	Tokyo	145 ms
172.64.229.102	443	TRUE	NRT	Asia Pacific	Tokyo	145 ms
172.64.229.14	443	TRUE	NRT	Asia Pacific	Tokyo	145 ms
172.64.229.8	443	TRUE	NRT	Asia Pacific	Tokyo	145 ms
172.64.229.43	443	TRUE	NRT	Asia Pacific	Tokyo	145 ms
172.64.229.219	443	TRUE	NRT	Asia Pacific	Tokyo	145 ms
172.64.229.26	443	TRUE	NRT	Asia Pacific	Tokyo	145 ms
172.64.229.24	443	TRUE	NRT	Asia Pacific	Tokyo	145 ms
